id,age,Sex,Occupation,Field,Working Hours,Package,Job Type,Company Type,Marital Status,Location,Cerifications,Education_level,Bonus,Allowances,OverTime Pay,Salary Per Month
1711,67,Male,Intermediate,Digital marketing,5 Hr,25 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,Rural,Oracle Certified Java Programmer,High School,"₹5,000 - ₹20,000",Company Car,No Overtime,73000 Rs
1712,66,Female,Intermediate,Digital marketing,8 Hr,21 LPA,Hybrid,Consultancy Firm,Single,Rural,Google Cloud Professional Engineer,PhD,"₹20,000 - ₹50,000",Housing Allowance,₹200/hour,115000 Rs
1713,43,Male,Intermediate,CA,5 Hr,13 LPA,Remote,Government Organization,Single,City,Google Cloud Professional Engineer,Bachelor's Degree,No Bonus,Housing Allowance,Compensatory Off (No extra pay),111000 Rs
1714,36,Male,Intermediate,Finance,5 Hr,10 LPA,Remote,Non-Profit / NGO,Married,Metro,CFA (Chartered Financial Analyst),PhD,"₹5,000 - ₹20,000",Multiple Allowances,Fixed Monthly Overtime Bonus,129000 Rs
1715,39,Female,Experienced,CA,5 Hr,28 LPA,Full-Time,Freelancing / Self-employed,Married,Rural,PMP (Project Management Professional),Diploma,No Bonus,Housing Allowance,No Overtime,141000 Rs
1716,63,Male,Intermediate,Finance,3 Hr,8 LPA,Remote,Mid-sized Company,Single,City,Certified Data Scientist,Master's Degree,No Bonus,Internet Allowance,No Overtime,95000 Rs
1717,33,Female,Experienced,CA,3 Hr,11 LPA,Hybrid,Big MNC (Multinational Corporation),Married,City,Lean Six Sigma,Master's Degree,"₹20,000 - ₹50,000",Company Car,No Overtime,93000 Rs
1718,27,Female,Experienced,Digital marketing,2 Hr,29 LPA,Full-Time,Non-Profit / NGO,Divorced,Rural,CFA (Chartered Financial Analyst),PhD,"₹20,000 - ₹50,000",Travel Allowance,₹200/hour,121000 Rs
1719,40,Male,Working professional,IT,6 Hr,14 LPA,Remote,Freelancing / Self-employed,Divorced,Rural,PMP (Project Management Professional),Bachelor's Degree,"₹20,000 - ₹50,000",Food Allowance,₹300/hour,119000 Rs
1720,24,Male,Experienced,Finance,7 Hr,26 LPA,Hybrid,Big MNC (Multinational Corporation),Single,City,Certified Data Scientist,Bachelor's Degree,No Bonus,Multiple Allowances,₹300/hour,101000 Rs
1721,20,Male,Experienced,Digital marketing,3 Hr,22 LPA,Full-Time,Freelancing / Self-employed,Divorced,City,CompTIA Security+,Master's Degree,"₹20,000 - ₹50,000",Travel Allowance,Compensatory Off (No extra pay),31000 Rs
1722,33,Male,Intermediate,CA,8 Hr,24 LPA,Remote,Big MNC (Multinational Corporation),Divorced,Rural,PMP (Project Management Professional),PhD,"₹20,000 - ₹50,000",Medical Allowance,₹100/hour,127000 Rs
1723,33,Female,Fresher,CA,10 Hr,30 LPA,Full-Time,Outsourcing / Service-based Company,Married,City,CFA (Chartered Financial Analyst),Master's Degree,No Bonus,Travel Allowance,No Overtime,101000 Rs
1724,34,Female,Experienced,Finance,9 Hr,20 LPA,Full-Time,Mid-sized Company,Single,City,Google Cloud Professional Engineer,Professional Certification,"₹5,000 - ₹20,000",Food Allowance,Compensatory Off (No extra pay),125000 Rs
1725,42,Male,Fresher,Digital marketing,2 Hr,8 LPA,Remote,Big MNC (Multinational Corporation),Divorced,Metro,Lean Six Sigma,Diploma,"₹20,000 - ₹50,000",Medical Allowance,₹200/hour,81000 Rs
1726,26,Male,Intermediate,Finance,9 Hr,27 LPA,Hybrid,Scale-up (growing startup),Single,Rural,Lean Six Sigma,Bachelor's Degree,"₹20,000 - ₹50,000",Medical Allowance,Compensatory Off (No extra pay),37000 Rs
1727,54,Female,Experienced,Finance,2 Hr,9 LPA,Hybrid,Non-Profit / NGO,Married,City,Google Cloud Professional Engineer,Master's Degree,"₹20,000 - ₹50,000",Company Car,Compensatory Off (No extra pay),43000 Rs
1728,25,Female,Experienced,Digital marketing,2 Hr,12 LPA,Hybrid,Startup (early-stage),Divorced,Metro,CFA (Chartered Financial Analyst),High School,"₹5,000 - ₹20,000",Internet Allowance,Fixed Monthly Overtime Bonus,79000 Rs
1729,34,Female,Intermediate,Finance,6 Hr,29 LPA,Hybrid,Startup (early-stage),Divorced,City,CFA (Chartered Financial Analyst),Master's Degree,No Bonus,Multiple Allowances,₹100/hour,41000 Rs
1730,35,Male,Experienced,CA,4 Hr,20 LPA,Full-Time,Small Business / Local Firm,Married,Rural,Certified Data Scientist,Master's Degree,"₹20,000 - ₹50,000",Multiple Allowances,₹200/hour,55000 Rs
1731,46,Female,Experienced,IT,4 Hr,5 LPA,Hybrid,Scale-up (growing startup),Married,City,TensorFlow Developer Certificate,High School,"₹5,000 - ₹20,000",Multiple Allowances,₹200/hour,113000 Rs
1732,70,Female,Working professional,Digital marketing,5 Hr,19 LPA,Full-Time,Scale-up (growing startup),Married,Metro,CompTIA Security+,High School,No Bonus,Multiple Allowances,Fixed Monthly Overtime Bonus,119000 Rs
1733,18,Male,Fresher,Finance,10 Hr,9 LPA,Hybrid,Small Business / Local Firm,Single,Metro,CFA (Chartered Financial Analyst),High School,"₹20,000 - ₹50,000",Medical Allowance,No Overtime,77000 Rs
1734,61,Female,Intermediate,CA,4 Hr,18 LPA,Hybrid,Mid-sized Company,Single,City,Google Cloud Professional Engineer,Bachelor's Degree,"₹5,000 - ₹20,000",Multiple Allowances,₹200/hour,91000 Rs
1735,31,Male,Intermediate,CA,5 Hr,22 LPA,Hybrid,Product-based Company,Single,Metro,Google Cloud Professional Engineer,Master's Degree,"₹20,000 - ₹50,000",Company Car,No Overtime,63000 Rs
1736,44,Female,Working professional,CA,4 Hr,30 LPA,Remote,Small Business / Local Firm,Single,Rural,Cisco CCNA,Diploma,"₹5,000 - ₹20,000",Company Car,₹200/hour,31000 Rs
1737,19,Male,Intermediate,Finance,7 Hr,27 LPA,Full-Time,Mid-sized Company,Single,Metro,Microsoft Azure Fundamentals,Master's Degree,No Bonus,Company Car,₹100/hour,63000 Rs
1738,22,Male,Experienced,CA,1 Hr,26 LPA,Hybrid,Startup (early-stage),Single,Metro,Cisco CCNA,Master's Degree,No Bonus,Internet Allowance,₹200/hour,119000 Rs
1739,54,Female,Intermediate,Digital marketing,7 Hr,29 LPA,Hybrid,Large Enterprise,Single,Metro,Microsoft Azure Fundamentals,High School,No Bonus,Food Allowance,₹300/hour,41000 Rs
1740,39,Female,Intermediate,IT,4 Hr,18 LPA,Hybrid,Freelancing / Self-employed,Single,City,Oracle Certified Java Programmer,Professional Certification,"₹5,000 - ₹20,000",Housing Allowance,₹100/hour,57000 Rs
1741,66,Female,Intermediate,CA,10 Hr,15 LPA,Remote,Small Business / Local Firm,Married,Metro,CompTIA Security+,PhD,"₹20,000 - ₹50,000",Travel Allowance,No Overtime,45000 Rs
1742,52,Male,Fresher,CA,10 Hr,10 LPA,Hybrid,Consultancy Firm,Married,City,Google Cloud Professional Engineer,High School,No Bonus,Travel Allowance,₹200/hour,25000 Rs
1743,60,Female,Intermediate,CA,6 Hr,14 LPA,Full-Time,Mid-sized Company,Married,Metro,CFA (Chartered Financial Analyst),Diploma,"₹5,000 - ₹20,000",Company Car,₹300/hour,105000 Rs
1744,44,Male,Fresher,CA,10 Hr,29 LPA,Remote,Consultancy Firm,Divorced,Metro,Oracle Certified Java Programmer,Bachelor's Degree,"₹5,000 - ₹20,000",Housing Allowance,No Overtime,109000 Rs
1745,25,Male,Working professional,Digital marketing,1 Hr,28 LPA,Full-Time,Non-Profit / NGO,Single,City,Google Cloud Professional Engineer,Bachelor's Degree,"₹5,000 - ₹20,000",None,No Overtime,65000 Rs
1746,66,Female,Intermediate,CA,8 Hr,9 LPA,Full-Time,Mid-sized Company,Divorced,Rural,CFA (Chartered Financial Analyst),Professional Certification,"₹20,000 - ₹50,000",Medical Allowance,₹300/hour,149000 Rs
1747,70,Male,Intermediate,IT,10 Hr,8 LPA,Full-Time,Large Enterprise,Single,Metro,CFA (Chartered Financial Analyst),Master's Degree,"₹5,000 - ₹20,000",Travel Allowance,₹300/hour,149000 Rs
1748,53,Female,Working professional,IT,10 Hr,29 LPA,Remote,Startup (early-stage),Single,City,AWS Certified Solutions Architect,Bachelor's Degree,"₹5,000 - ₹20,000",Company Car,No Overtime,105000 Rs
1749,45,Female,Intermediate,Finance,2 Hr,30 LPA,Hybrid,Big MNC (Multinational Corporation),Married,City,CompTIA Security+,High School,"₹20,000 - ₹50,000",Multiple Allowances,₹100/hour,95000 Rs
1750,42,Female,Experienced,IT,4 Hr,14 LPA,Remote,Scale-up (growing startup),Married,Rural,AWS Certified Solutions Architect,High School,"₹5,000 - ₹20,000",Medical Allowance,₹200/hour,29000 Rs
1751,62,Female,Working professional,IT,6 Hr,28 LPA,Hybrid,Large Enterprise,Single,City,Certified Data Scientist,Bachelor's Degree,"₹5,000 - ₹20,000",Internet Allowance,₹200/hour,101000 Rs
1752,23,Male,Working professional,IT,9 Hr,5 LPA,Remote,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,City,AWS Certified Solutions Architect,High School,"₹5,000 - ₹20,000",None,Fixed Monthly Overtime Bonus,31000 Rs
1753,53,Female,Working professional,Finance,7 Hr,24 LPA,Hybrid,Mid-sized Company,Married,City,Microsoft Azure Fundamentals,High School,"₹20,000 - ₹50,000",Travel Allowance,₹200/hour,57000 Rs
1754,27,Female,Experienced,IT,5 Hr,20 LPA,Remote,Small Business / Local Firm,Married,City,CFA (Chartered Financial Analyst),Professional Certification,"₹5,000 - ₹20,000",Travel Allowance,Fixed Monthly Overtime Bonus,53000 Rs
1755,40,Female,Fresher,Finance,1 Hr,27 LPA,Remote,Large Enterprise,Single,Metro,TensorFlow Developer Certificate,Professional Certification,"₹5,000 - ₹20,000",Medical Allowance,Fixed Monthly Overtime Bonus,149000 Rs
1756,30,Female,Working professional,CA,8 Hr,25 LPA,Full-Time,Startup (early-stage),Married,City,CFA (Chartered Financial Analyst),Professional Certification,No Bonus,Company Car,₹300/hour,65000 Rs
1757,30,Male,Experienced,IT,6 Hr,10 LPA,Remote,Government Organization,Divorced,Rural,Google Cloud Professional Engineer,Master's Degree,"₹20,000 - ₹50,000",Medical Allowance,Compensatory Off (No extra pay),143000 Rs
1758,35,Male,Intermediate,CA,1 Hr,29 LPA,Full-Time,Non-Profit / NGO,Single,Metro,Certified Data Scientist,Diploma,"₹20,000 - ₹50,000",Internet Allowance,Compensatory Off (No extra pay),55000 Rs
1759,32,Female,Intermediate,Digital marketing,2 Hr,29 LPA,Remote,Big MNC (Multinational Corporation),Married,City,TensorFlow Developer Certificate,Bachelor's Degree,No Bonus,Internet Allowance,No Overtime,143000 Rs
1760,61,Male,Experienced,Finance,2 Hr,8 LPA,Hybrid,Non-Profit / NGO,Single,City,AWS Certified Solutions Architect,High School,No Bonus,None,No Overtime,127000 Rs
1761,51,Female,Working professional,CA,2 Hr,30 LPA,Remote,Scale-up (growing startup),Divorced,City,Lean Six Sigma,Bachelor's Degree,"₹20,000 - ₹50,000",Medical Allowance,Fixed Monthly Overtime Bonus,45000 Rs
1762,21,Male,Experienced,IT,10 Hr,20 LPA,Hybrid,Startup (early-stage),Single,City,Oracle Certified Java Programmer,Diploma,"₹5,000 - ₹20,000",Internet Allowance,₹300/hour,53000 Rs
1763,58,Male,Working professional,IT,9 Hr,25 LPA,Remote,Outsourcing / Service-based Company,Married,Metro,Oracle Certified Java Programmer,Professional Certification,No Bonus,Housing Allowance,₹200/hour,53000 Rs
1764,54,Female,Fresher,IT,9 Hr,8 LPA,Hybrid,Small Business / Local Firm,Married,City,PMP (Project Management Professional),Bachelor's Degree,"₹5,000 - ₹20,000",Internet Allowance,Compensatory Off (No extra pay),61000 Rs
1765,57,Female,Working professional,CA,7 Hr,5 LPA,Full-Time,Large Enterprise,Divorced,Rural,AWS Certified Solutions Architect,Diploma,No Bonus,Food Allowance,No Overtime,55000 Rs
1766,66,Male,Working professional,IT,6 Hr,15 LPA,Full-Time,Freelancing / Self-employed,Divorced,Metro,Microsoft Azure Fundamentals,Professional Certification,"₹20,000 - ₹50,000",Food Allowance,₹300/hour,93000 Rs
1767,37,Male,Working professional,Digital marketing,3 Hr,19 LPA,Full-Time,Large Enterprise,Divorced,City,Google Cloud Professional Engineer,Professional Certification,"₹5,000 - ₹20,000",Housing Allowance,No Overtime,113000 Rs
1768,70,Female,Intermediate,IT,6 Hr,16 LPA,Remote,Product-based Company,Single,Rural,CFA (Chartered Financial Analyst),PhD,"₹5,000 - ₹20,000",Food Allowance,₹300/hour,119000 Rs
1769,20,Female,Experienced,Finance,7 Hr,25 LPA,Full-Time,Contract / Temporary Employment,Divorced,City,CompTIA Security+,Diploma,No Bonus,Multiple Allowances,No Overtime,53000 Rs
1770,69,Female,Experienced,Digital marketing,10 Hr,27 LPA,Hybrid,Large Enterprise,Single,Rural,CFA (Chartered Financial Analyst),Professional Certification,"₹5,000 - ₹20,000",Multiple Allowances,Fixed Monthly Overtime Bonus,149000 Rs
1771,49,Female,Intermediate,Finance,1 Hr,9 LPA,Full-Time,Non-Profit / NGO,Single,Rural,PMP (Project Management Professional),High School,"₹5,000 - ₹20,000",Multiple Allowances,₹200/hour,45000 Rs
1772,50,Female,Intermediate,Digital marketing,1 Hr,11 LPA,Full-Time,Non-Profit / NGO,Married,Metro,CompTIA Security+,PhD,No Bonus,Medical Allowance,₹100/hour,111000 Rs
1773,69,Female,Intermediate,CA,8 Hr,7 LPA,Hybrid,Large Enterprise,Divorced,Rural,Google Cloud Professional Engineer,Professional Certification,"₹20,000 - ₹50,000",Food Allowance,₹300/hour,87000 Rs
1774,56,Female,Working professional,Digital marketing,5 Hr,16 LPA,Hybrid,Small Business / Local Firm,Divorced,City,Certified Data Scientist,Diploma,No Bonus,Internet Allowance,₹300/hour,147000 Rs
1775,23,Female,Fresher,Finance,9 Hr,5 LPA,Remote,Non-Profit / NGO,Single,City,Oracle Certified Java Programmer,High School,"₹20,000 - ₹50,000",Travel Allowance,₹100/hour,141000 Rs
1776,50,Male,Experienced,CA,10 Hr,16 LPA,Full-Time,Contract / Temporary Employment,Single,Metro,Certified Data Scientist,Diploma,"₹20,000 - ₹50,000",None,₹300/hour,77000 Rs
1777,67,Male,Experienced,Digital marketing,4 Hr,15 LPA,Full-Time,Non-Profit / NGO,Divorced,Rural,CompTIA Security+,Master's Degree,No Bonus,Company Car,₹300/hour,141000 Rs
1778,24,Male,Fresher,Finance,6 Hr,14 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,Rural,AWS Certified Solutions Architect,High School,"₹20,000 - ₹50,000",Food Allowance,₹100/hour,103000 Rs
1779,30,Male,Intermediate,Finance,9 Hr,14 LPA,Full-Time,Freelancing / Self-employed,Married,Rural,Oracle Certified Java Programmer,PhD,No Bonus,Internet Allowance,No Overtime,137000 Rs
1780,70,Male,Experienced,CA,1 Hr,7 LPA,Hybrid,Non-Profit / NGO,Divorced,City,Lean Six Sigma,High School,"₹20,000 - ₹50,000",Food Allowance,No Overtime,57000 Rs
1781,52,Male,Fresher,IT,7 Hr,26 LPA,Remote,Outsourcing / Service-based Company,Married,City,Microsoft Azure Fundamentals,Bachelor's Degree,No Bonus,Multiple Allowances,Compensatory Off (No extra pay),83000 Rs
1782,56,Male,Experienced,Finance,9 Hr,7 LPA,Hybrid,Outsourcing / Service-based Company,Married,City,Cisco CCNA,Professional Certification,No Bonus,Housing Allowance,Compensatory Off (No extra pay),127000 Rs
1783,56,Female,Fresher,IT,9 Hr,25 LPA,Remote,Freelancing / Self-employed,Divorced,Metro,Microsoft Azure Fundamentals,Master's Degree,"₹5,000 - ₹20,000",Medical Allowance,Fixed Monthly Overtime Bonus,59000 Rs
1784,61,Male,Intermediate,Digital marketing,1 Hr,15 LPA,Full-Time,Non-Profit / NGO,Divorced,Rural,PMP (Project Management Professional),Bachelor's Degree,"₹20,000 - ₹50,000",Internet Allowance,₹200/hour,25000 Rs
1785,61,Female,Intermediate,Finance,10 Hr,18 LPA,Full-Time,Scale-up (growing startup),Married,City,CompTIA Security+,Master's Degree,No Bonus,Medical Allowance,Fixed Monthly Overtime Bonus,57000 Rs
1786,47,Male,Experienced,Finance,10 Hr,20 LPA,Hybrid,Non-Profit / NGO,Divorced,City,AWS Certified Solutions Architect,Professional Certification,"₹5,000 - ₹20,000",Food Allowance,No Overtime,141000 Rs
1787,28,Female,Fresher,CA,1 Hr,26 LPA,Full-Time,Small Business / Local Firm,Divorced,City,CFA (Chartered Financial Analyst),Bachelor's Degree,No Bonus,Travel Allowance,Fixed Monthly Overtime Bonus,71000 Rs
1788,39,Male,Working professional,IT,5 Hr,5 LPA,Hybrid,Startup (early-stage),Divorced,Metro,Cisco CCNA,Professional Certification,No Bonus,None,₹300/hour,131000 Rs
1789,27,Female,Experienced,Finance,10 Hr,16 LPA,Full-Time,Big MNC (Multinational Corporation),Divorced,Metro,Oracle Certified Java Programmer,Master's Degree,"₹5,000 - ₹20,000",Multiple Allowances,₹300/hour,139000 Rs
1790,64,Female,Intermediate,Digital marketing,9 Hr,15 LPA,Remote,Government Organization,Married,City,TensorFlow Developer Certificate,Diploma,No Bonus,Multiple Allowances,Compensatory Off (No extra pay),61000 Rs
1791,18,Female,Experienced,CA,2 Hr,24 LPA,Remote,Consultancy Firm,Married,Rural,Cisco CCNA,Diploma,No Bonus,Housing Allowance,Compensatory Off (No extra pay),85000 Rs
1792,38,Male,Fresher,IT,7 Hr,18 LPA,Remote,Startup (early-stage),Single,Rural,Microsoft Azure Fundamentals,High School,No Bonus,None,₹100/hour,93000 Rs
1793,33,Male,Experienced,Finance,7 Hr,26 LPA,Remote,Consultancy Firm,Married,City,Google Cloud Professional Engineer,Professional Certification,No Bonus,Travel Allowance,₹300/hour,129000 Rs
1794,42,Male,Intermediate,Finance,10 Hr,6 LPA,Remote,Startup (early-stage),Married,City,AWS Certified Solutions Architect,Master's Degree,No Bonus,Company Car,₹100/hour,39000 Rs
1795,61,Male,Fresher,Finance,6 Hr,24 LPA,Hybrid,Consultancy Firm,Married,Metro,TensorFlow Developer Certificate,High School,No Bonus,Housing Allowance,Compensatory Off (No extra pay),89000 Rs
1796,43,Female,Experienced,Finance,9 Hr,30 LPA,Hybrid,Consultancy Firm,Married,Rural,CFA (Chartered Financial Analyst),Diploma,No Bonus,None,Fixed Monthly Overtime Bonus,107000 Rs
1797,64,Male,Experienced,CA,9 Hr,23 LPA,Hybrid,Startup (early-stage),Divorced,City,Lean Six Sigma,Bachelor's Degree,No Bonus,Internet Allowance,Compensatory Off (No extra pay),117000 Rs
1798,39,Female,Experienced,Finance,6 Hr,14 LPA,Full-Time,Scale-up (growing startup),Single,Rural,Cisco CCNA,Bachelor's Degree,"₹20,000 - ₹50,000",Company Car,₹300/hour,31000 Rs
1799,40,Male,Experienced,IT,2 Hr,24 LPA,Hybrid,Contract / Temporary Employment,Single,Rural,CompTIA Security+,Professional Certification,"₹5,000 - ₹20,000",None,₹300/hour,57000 Rs
1800,36,Female,Fresher,Digital marketing,10 Hr,26 LPA,Hybrid,Consultancy Firm,Married,Metro,Google Cloud Professional Engineer,Professional Certification,No Bonus,None,₹300/hour,85000 Rs
1801,20,Male,Working professional,IT,1 Hr,14 LPA,Full-Time,Non-Profit / NGO,Divorced,Rural,TensorFlow Developer Certificate,Diploma,"₹5,000 - ₹20,000",None,No Overtime,55000 Rs
1802,18,Female,Intermediate,CA,9 Hr,20 LPA,Remote,Outsourcing / Service-based Company,Single,Metro,CompTIA Security+,Master's Degree,"₹20,000 - ₹50,000",Food Allowance,₹100/hour,121000 Rs
1803,60,Male,Fresher,Digital marketing,4 Hr,11 LPA,Remote,Contract / Temporary Employment,Married,Rural,PMP (Project Management Professional),Professional Certification,No Bonus,Medical Allowance,Fixed Monthly Overtime Bonus,109000 Rs
1804,30,Male,Working professional,Digital marketing,8 Hr,7 LPA,Remote,Outsourcing / Service-based Company,Married,Metro,Certified Data Scientist,High School,No Bonus,Internet Allowance,₹300/hour,123000 Rs
1805,34,Female,Fresher,IT,4 Hr,10 LPA,Full-Time,Consultancy Firm,Single,Rural,CompTIA Security+,Master's Degree,No Bonus,Travel Allowance,₹100/hour,43000 Rs
1806,59,Female,Intermediate,CA,7 Hr,25 LPA,Hybrid,Freelancing / Self-employed,Married,Metro,Lean Six Sigma,Master's Degree,No Bonus,Internet Allowance,Fixed Monthly Overtime Bonus,59000 Rs
1807,19,Male,Working professional,CA,2 Hr,15 LPA,Full-Time,Startup (early-stage),Single,Metro,PMP (Project Management Professional),Professional Certification,"₹5,000 - ₹20,000",Internet Allowance,No Overtime,143000 Rs
1808,41,Female,Experienced,IT,7 Hr,9 LPA,Remote,Product-based Company,Married,City,Cisco CCNA,Bachelor's Degree,"₹5,000 - ₹20,000",Travel Allowance,Compensatory Off (No extra pay),99000 Rs
1809,36,Female,Working professional,CA,2 Hr,26 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Married,City,Certified Data Scientist,PhD,No Bonus,Multiple Allowances,Compensatory Off (No extra pay),39000 Rs
1810,46,Female,Experienced,Finance,4 Hr,15 LPA,Remote,Big MNC (Multinational Corporation),Divorced,Metro,Certified Data Scientist,Diploma,"₹20,000 - ₹50,000",Multiple Allowances,No Overtime,121000 Rs
1811,69,Female,Experienced,CA,10 Hr,17 LPA,Full-Time,Non-Profit / NGO,Divorced,Metro,Oracle Certified Java Programmer,PhD,No Bonus,Multiple Allowances,Fixed Monthly Overtime Bonus,113000 Rs
1812,53,Male,Experienced,CA,9 Hr,26 LPA,Full-Time,Startup (early-stage),Married,Rural,CompTIA Security+,Master's Degree,No Bonus,Housing Allowance,₹100/hour,73000 Rs
1813,70,Male,Working professional,CA,1 Hr,5 LPA,Hybrid,Product-based Company,Divorced,City,Certified Data Scientist,Bachelor's Degree,"₹5,000 - ₹20,000",Internet Allowance,₹300/hour,97000 Rs
1814,56,Female,Intermediate,Finance,2 Hr,5 LPA,Remote,Freelancing / Self-employed,Single,City,Cisco CCNA,PhD,No Bonus,Multiple Allowances,Compensatory Off (No extra pay),149000 Rs
1815,19,Male,Intermediate,Digital marketing,8 Hr,7 LPA,Remote,Consultancy Firm,Single,Rural,Google Cloud Professional Engineer,High School,"₹5,000 - ₹20,000",Housing Allowance,Fixed Monthly Overtime Bonus,35000 Rs
1816,24,Male,Working professional,IT,3 Hr,30 LPA,Hybrid,Contract / Temporary Employment,Divorced,City,CFA (Chartered Financial Analyst),Professional Certification,No Bonus,Internet Allowance,Compensatory Off (No extra pay),41000 Rs
1817,66,Male,Intermediate,Finance,7 Hr,27 LPA,Hybrid,Government Organization,Single,Metro,CompTIA Security+,Diploma,"₹20,000 - ₹50,000",None,₹100/hour,41000 Rs
1818,63,Female,Intermediate,Finance,1 Hr,25 LPA,Remote,Freelancing / Self-employed,Married,City,Cisco CCNA,Professional Certification,"₹5,000 - ₹20,000",Travel Allowance,Compensatory Off (No extra pay),27000 Rs
1819,62,Female,Intermediate,Digital marketing,5 Hr,19 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,Metro,Cisco CCNA,High School,No Bonus,Medical Allowance,₹300/hour,121000 Rs
1820,70,Female,Experienced,IT,10 Hr,11 LPA,Full-Time,Big MNC (Multinational Corporation),Single,City,Microsoft Azure Fundamentals,Bachelor's Degree,"₹20,000 - ₹50,000",Food Allowance,Fixed Monthly Overtime Bonus,49000 Rs
1821,54,Female,Experienced,CA,3 Hr,6 LPA,Full-Time,Product-based Company,Divorced,Rural,Google Cloud Professional Engineer,Bachelor's Degree,"₹20,000 - ₹50,000",Food Allowance,₹300/hour,73000 Rs
1822,60,Female,Experienced,Finance,10 Hr,29 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,Metro,Microsoft Azure Fundamentals,Master's Degree,"₹20,000 - ₹50,000",None,Fixed Monthly Overtime Bonus,25000 Rs
1823,67,Female,Fresher,Digital marketing,8 Hr,17 LPA,Hybrid,Government Organization,Married,City,Oracle Certified Java Programmer,Master's Degree,"₹5,000 - ₹20,000",None,₹300/hour,63000 Rs
1824,29,Female,Experienced,Digital marketing,9 Hr,17 LPA,Hybrid,Small Business / Local Firm,Married,Metro,AWS Certified Solutions Architect,Master's Degree,No Bonus,None,₹200/hour,79000 Rs
1825,24,Female,Fresher,Digital marketing,7 Hr,24 LPA,Full-Time,Contract / Temporary Employment,Divorced,Metro,Certified Data Scientist,Master's Degree,"₹5,000 - ₹20,000",Internet Allowance,₹200/hour,105000 Rs
1826,45,Female,Experienced,IT,4 Hr,16 LPA,Full-Time,Mid-sized Company,Married,Metro,Certified Data Scientist,Master's Degree,"₹20,000 - ₹50,000",Travel Allowance,₹200/hour,93000 Rs
1827,59,Male,Fresher,Digital marketing,6 Hr,21 LPA,Hybrid,Mid-sized Company,Divorced,Rural,Oracle Certified Java Programmer,Professional Certification,"₹5,000 - ₹20,000",Travel Allowance,₹300/hour,105000 Rs
1828,69,Female,Fresher,CA,7 Hr,30 LPA,Full-Time,Scale-up (growing startup),Married,City,Cisco CCNA,High School,No Bonus,Travel Allowance,No Overtime,35000 Rs
1829,34,Female,Fresher,CA,7 Hr,29 LPA,Remote,Government Organization,Married,Rural,Microsoft Azure Fundamentals,Professional Certification,No Bonus,Travel Allowance,₹100/hour,81000 Rs
1830,30,Male,Working professional,IT,7 Hr,5 LPA,Remote,Product-based Company,Single,City,Oracle Certified Java Programmer,PhD,"₹5,000 - ₹20,000",Company Car,No Overtime,61000 Rs
1831,21,Male,Experienced,Finance,1 Hr,19 LPA,Full-Time,Mid-sized Company,Single,Metro,Cisco CCNA,Bachelor's Degree,No Bonus,Travel Allowance,₹300/hour,97000 Rs
1832,41,Male,Working professional,Finance,4 Hr,11 LPA,Full-Time,Small Business / Local Firm,Married,Metro,PMP (Project Management Professional),Professional Certification,"₹20,000 - ₹50,000",Food Allowance,Fixed Monthly Overtime Bonus,25000 Rs
1833,23,Male,Intermediate,CA,1 Hr,10 LPA,Hybrid,Outsourcing / Service-based Company,Single,Metro,Cisco CCNA,Bachelor's Degree,"₹20,000 - ₹50,000",Travel Allowance,₹100/hour,89000 Rs
1834,32,Female,Fresher,IT,7 Hr,18 LPA,Full-Time,Mid-sized Company,Divorced,City,CompTIA Security+,Master's Degree,"₹20,000 - ₹50,000",Company Car,₹200/hour,49000 Rs
1835,42,Male,Working professional,CA,10 Hr,10 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Married,Rural,Lean Six Sigma,High School,"₹20,000 - ₹50,000",Company Car,₹200/hour,147000 Rs
1836,21,Female,Fresher,Digital marketing,3 Hr,23 LPA,Hybrid,Product-based Company,Married,Rural,Google Cloud Professional Engineer,High School,No Bonus,Food Allowance,₹100/hour,77000 Rs
1837,34,Male,Working professional,Digital marketing,8 Hr,23 LPA,Hybrid,Big MNC (Multinational Corporation),Single,Rural,Lean Six Sigma,Bachelor's Degree,No Bonus,Medical Allowance,₹200/hour,29000 Rs
1838,26,Male,Fresher,Digital marketing,7 Hr,17 LPA,Remote,Small Business / Local Firm,Single,Rural,CompTIA Security+,Diploma,"₹20,000 - ₹50,000",Food Allowance,₹300/hour,35000 Rs
1839,25,Female,Intermediate,Finance,9 Hr,30 LPA,Remote,Mid-sized Company,Divorced,City,Microsoft Azure Fundamentals,Diploma,"₹5,000 - ₹20,000",Food Allowance,No Overtime,123000 Rs
1840,26,Male,Experienced,IT,6 Hr,16 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,City,CompTIA Security+,Professional Certification,No Bonus,Internet Allowance,Fixed Monthly Overtime Bonus,103000 Rs
